id,line,stop_name,borough,lat,long,n_label,s_label,entries,exits
R16,Broadway - Brighton,Times Sq-42 St,M,40.754672,-73.986754,Uptown & Queens,Downtown & Brooklyn,7.9053401996E10,9.4031973197E10
R13,Astoria,5 Av/59 St,M,40.764811,-73.973347,Queens,Downtown & Brooklyn,9.9819375916E10,1.70757933631E11
R6,Astoria,36 Av,Q,40.756804,-73.929575,Astoria - Ditmars Blvd,Manhattan,7.1331940846E10,2.6958063183E10
R30,Broadway - Brighton,DeKalb Av,Bk,40.690635,-73.981824,Manhattan,Coney Island - Bay Ridge,1.625048003534E12,1.334749653979E12
R8,Astoria,39 Av-Dutch Kills,Q,40.752882,-73.932755,Astoria - Ditmars Blvd,Manhattan,2.7676840763E10,2.6753306073E10
R40,4th Av,53 St,Bk,40.645069,-74.014034,Manhattan,Bay Ridge - 95 St,1.18343499418E11,1.3138969255E10
R23,Broadway,Canal St,M,40.719527,-74.001775,Uptown & Queens,Downtown & Brooklyn,3.034008171273E12,4.004890364733E12
R45,4th Av,Bay Ridge-95 St,Bk,40.616622,-74.030876,Manhattan,,1.45718172033E11,1.1424377247E11
R21,Broadway - Brighton,8 St-NYU,M,40.730328,-73.992629,Uptown & Queens,Downtown & Brooklyn,1.067086537847E12,8.97730531215E11
R20,Broadway - Brighton,14 St-Union Sq,M,40.735736,-73.990568,Uptown & Queens,Downtown & Brooklyn,3.52359562127E11,3.20595332347E11
R43,4th Av,77 St,Bk,40.629742,-74.02551,Manhattan,95 St,7.74701516828E11,1.27076914353E11
R3,Astoria,Astoria Blvd,Q,40.770258,-73.917843,Ditmars Blvd,Manhattan,1.0233724436E10,6.300884972E9
R36,4th Av,36 St,Bk,40.655144,-74.003549,Manhattan,Coney Island - Bay Ridge,9.851525611E9,1.4600105563E10
R15,Broadway - Brighton,49 St,M,40.759901,-73.984139,Uptown & Queens,Downtown & Brooklyn,1.71540057484E11,1.83989511603E11
R24,Broadway,City Hall,M,40.713282,-74.006978,Uptown & Queens,Downtown & Brooklyn,2.77143996739E11,1.3558776869E11
R29,Broadway,Jay St-MetroTech,Bk,40.69218,-73.985942,Manhattan,Bay Ridge - 95 St,6.20282148955E11,4.43236158889E11
R33,4th Av,4 Av-9 St,Bk,40.670847,-73.988302,Manhattan,Bay Ridge - 95 St,3.697545906933E12,5.445914142777E12
R39,4th Av,45 St,Bk,40.648939,-74.010006,Manhattan,Bay Ridge - 95 St,1.0134315912E10,1.548481925E9
R4,Astoria,30 Av,Q,40.766779,-73.921479,Astoria - Ditmars Blvd,Manhattan,3.1864562633E10,3.1061851564E10
R41,4th Av,59 St,Bk,40.641362,-74.017881,Manhattan,Coney Island - Bay Ridge,2.32108548046E11,9.8903419027E10
R27,Broadway,Whitehall St-South Ferry,M,40.703087,-74.012994,Uptown & Queens,Brooklyn,2.25434495098E11,2.05860797334E11
R19,Broadway - Brighton,23 St,M,40.741303,-73.989344,Uptown & Queens,Downtown & Brooklyn,2.736788202515E12,7.19869933874E11
R5,Astoria,Broadway,Q,40.76182,-73.925508,Astoria - Ditmars Blvd,Manhattan,3.1812656437E10,2.9333724712E10
R44,4th Av,86 St,Bk,40.622687,-74.028398,Manhattan,95 St,5.043985138789E12,5.573901340127E12
R22,Broadway - Brighton,Prince St,M,40.724329,-73.997702,Uptown & Queens,Downtown & Brooklyn,4.26311826118E11,2.88190954756E11
R34,4th Av,Prospect Av,Bk,40.665414,-73.992872,Manhattan,Bay Ridge - 95 St,2.4105470401E10,2.758248849E10
R32,4th Av,Union St,Bk,40.677316,-73.98311,Manhattan,Bay Ridge - 95 St,9.3602037094E10,1.0880862346E11
R42,4th Av,Bay Ridge Av,Bk,40.634967,-74.023377,Manhattan,95 St,8.1491060282E11,1.378612427778E12
R31,4th Av,Atlantic Av-Barclays Ctr,Bk,40.683666,-73.97881,Manhattan,Coney Island - Bay Ridge,2.70006868345E11,1.9525218181E11
R9,Astoria,Queensboro Plaza,Q,40.750582,-73.940202,Astoria - Flushing,Manhattan,1.3344121878E10,1.2211036335E10
R11,Astoria,Lexington Av/59 St,M,40.76266,-73.967258,Queens,Downtown & Brooklyn,4.521532580046E12,3.641397907941E12
R1,Astoria,Astoria-Ditmars Blvd,Q,40.775036,-73.912034,,Manhattan,3.96419442997E11,1.33421439094E11
R18,Broadway - Brighton,28 St,M,40.745494,-73.988691,Uptown & Queens,Downtown & Brooklyn,1.385354956576E12,1.019986375028E12
R25,Broadway,Cortlandt St,M,40.710668,-74.011029,Uptown & Queens,Downtown & Brooklyn,2.05329757745E11,1.85622741072E11
R14,Broadway - Brighton,57 St-7 Av,M,40.764664,-73.980658,Uptown & Queens,Downtown & Brooklyn,3.96133333974E12,7.12490061939E11
R35,4th Av,25 St,Bk,40.660397,-73.998091,Manhattan,Bay Ridge - 95 St,2.19807652617E11,1.02054874542E11
R17,Broadway - Brighton,34 St-Herald Sq,M,40.749567,-73.98795,Uptown & Queens,Downtown & Brooklyn,2.35305257363E11,2.204867185E11
R28,Broadway,Court St,Bk,40.6941,-73.991777,Manhattan,Bay Ridge - 95 St,4.988522423362E12,2.784563621555E12
